월별,기간,전체,반도체,철강제품,승용차,석유제품,무선통신기기,선박,자동차부품,컴퓨터주변기기,정밀기기,가전제품
201601,01~10,8453665,1108532,699490,267042,421461,566581,857006,404300,139216,147506,128526
201601,01~20,22081425,2798444,1713597,1120283,993571,1197717,2302532,1096189,338288,376100,430450
201601,01~31,36260420,4590675,2963953,2773742,1684516,1964416,2617192,1871217,552120,597448,696229
201602,01~10,8723002,1148994,738513,330477,483390,427479,360863,530185,156696,154552,210700
201602,01~20,21967139,2662160,1777030,1234504,1123759,1301971,1512134,1188557,358157,368288,451911
201602,01~29,35924541,4191505,2973930,2724255,1703253,2071924,2621257,1834848,528011,558704,715932
201603,01~10,11969107,1498350,1218726,520020,511333,783072,711249,685814,182477,199171,255414
201603,01~20,23797947,2845123,2033916,1718030,1149349,1459542,1380516,1321101,367417,404833,478388
201603,01~31,43002468,5328931,3914314,3683674,1915398,2614236,2516427,2179476,609178,705732,862126
201604,01~10,10525943,1182806,973800,470934,711169,577894,716900,587023,148237,166011,194156
201604,01~20,23650865,2722433,1973153,1480774,1396874,1372051,1323642,1229623,363994,383215,480134
201604,01~30,41081553,4590248,3265409,3231914,2435747,2306875,3421545,2033711,557562,621048,757022
201605,01~10,9306549,1278394,744731,246433,402019,641028,540579,517236,134199,172975,206426
201605,01~20,24622413,3033433,1951880,1442922,1337099,1435789,1286785,1399514,360237,426910,516768
201605,01~31,39733794,4923303,3149374,3166111,2193445,2390987,1865317,2018372,596228,652761,815976
201606,01~10,13884003,1585169,1021891,624133,682990,713973,1942636,798907,185368,215952,235532
201606,01~20,25663146,3000373,1823223,1514186,1482503,1256422,3074736,1341291,379820,410487,465091
201606,01~30,45209071,5310312,3844619,3508902,2329539,2174461,5062497,2134502,696076,691984,826131
201607,01~10,10300925,1294568,853006,541135,690929,438749,618332,555549,157799,177947,204184
201607,01~20,24535848,3058461,1884835,1623959,1601650,1130778,1381135,1252781,398717,430287,527978
201607,01~31,40881700,5036541,3334799,3171440,2701275,1836078,1879096,2084696,661255,697328,860149
201608,01~10,9697883,1650194,819020,74268,563583,588810,376265,326272,179234,199302,179574
201608,01~20,22463718,3415694,1765118,731982,1287314,1291824,1394919,1012330,375702,424455,486542
201608,01~31,40124791,5613838,3276519,2086868,2102511,2076029,3199768,1776612,674818,707365,877193
201609,01~10,13492748,1752533,1024127,482651,753410,730692,947951,839676,193610,250595,332321
201609,01~20,22903863,3346806,1680985,974757,1528073,1171888,1203522,1265730,363310,427903,547414
201609,01~30,40846252,5733316,3204443,2195324,2409807,1990340,2169639,2184384,705578,736471,949605
201610,01~10,9451090,1341772,686818,266323,625414,625166,391550,534109,179926,182185,257989
201610,01~20,24969767,3273787,1831808,1360026,1445367,1427349,1463501,1390960,434624,461634,616489
201610,01~31,41983329,5619086,3133644,3086277,2321520,2386606,2509324,2112055,737261,740922,962826
201611,01~10,13865744,1917115,1015643,669328,767288,863810,604844,841988,204329,262126,298124
201611,01~20,27144176,3588581,2016654,1729735,1432777,1503453,2133594,1380521,395451,490425,528095
201611,01~30,45309141,5834147,3474401,3662361,2405414,2303042,3441052,2117177,668976,809187,791857
201612,01~10,12840228,1802378,917405,822514,676461,706809,437536,676404,201896,274992,228103
201612,01~20,27045242,3669861,1894576,2071067,1648740,1394088,1195757,1276964,400480,567200,468404
201612,01~31,45068880,5927970,3409947,4205540,2611049,2086243,2164170,2068151,679223,912388,696060
201701,01~10,11633553,1818217,859784,342784,939409,422338,853194,528040,188426,239183,181881
201701,01~20,27505852,4264801,2042807,1463440,1857226,1093014,1676773,1374942,416182,546052,450568
201701,01~31,40257000,6495478,3212401,2677455,2809525,1437948,2132070,1899980,571305,737904,628975
201702,01~10,15065631,2060913,1695436,633151,1161363,571256,688760,726700,208348,286744,226047
201702,01~20,27681438,4030348,2615464,1609549,1860136,1047840,1488641,1310424,364741,509104,436007
201702,01~28,43166536,6564146,3981783,3064965,2948804,1513173,1813956,2000229,597857,783502,658441
201703,01~10,14157054,1981469,1075128,783448,1038705,513143,983397,680130,148910,260546,215820
201703,01~20,27135502,4052391,1987736,1732306,1805509,1030672,1785871,1216162,291854,496371,441557
201703,01~31,48637832,7680205,3725382,3851265,3037178,1832826,2832271,2123073,588494,894955,759856
201704,01~10,11155507,1795039,860368,580596,680866,622659,401211,463223,143373,267377,184658
201704,01~20,30304957,4152760,2620789,1862295,1678978,1374277,3062031,1226577,370378,598058,472946
201704,01~30,50843799,7301692,4173793,3646542,2529863,1965145,7049374,1850103,610497,916945,695416
201705,01~10,9652000,1827707,707146,246673,853404,338938,311969,415024,159052,193917,158450
201705,01~20,25341567,4267958,2285799,1478593,1779864,863508,839566,1111155,411448,494124,421531
201705,01~31,44926979,7682394,3941196,3297943,2809248,1475450,2353551,1787007,651951,829077,711136
201706,01~10,12131557,2091996,1200469,462306,727626,529171,431708,566700,203542,268744,176859
