date,symbol,name,close,volume,turnover,pct_change,vol_ratio_20,knee_score,knee_grade,knee_reasons,knee_confirmed,shoulder_score,shoulder_grade,shoulder_reasons,shoulder_confirmed,analysis_date,run_at
20260609,093370,후성,13520,10141721,133955887840,20.18,4.51,100,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복 | 20일선 상회 추세 | 상승 탄력 확대,1,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,084370,유진테크,147400,515955,75890503094,13.82,1.93,100,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복 | 20일선 상회 추세 | 상승 탄력 확대,1,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,403870,HPSP,57000,11026620,621636128725,20.89,2.94,100,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복 | 20일선 상회 추세 | 상승 탄력 확대,1,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,240810,원익IPS,119100,1504096,176210684800,13.54,1.6,90,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복 | 상승 탄력 확대,1,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,069960,현대백화점,166800,363083,60770097500,12.25,1.75,80,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 상회 추세 | 상승 탄력 확대,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,319660,피에스케이,138200,1129599,153573791500,24.28,2.13,80,Strong,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 상회 추세 | 상승 탄력 확대,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,086450,동국제약,17730,669717,11876164550,7.19,1.6,75,Watch,종가 반등 | RSI 반등 | MACD 개선 | 거래량 증가 | 상승 탄력 확대,0,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,214150,클래시스,44500,531057,23839095486,5.95,1.59,75,Watch,종가 반등 | RSI 반등 | MACD 개선 | 거래량 증가 | 상승 탄력 확대,0,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,215200,메가스터디교육,38850,105158,4035702550,6.44,2.24,75,Watch,종가 반등 | RSI 반등 | MACD 개선 | 거래량 증가 | 상승 탄력 확대,0,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
20260609,316140,우리금융지주,30000,4475243,133691746850,3.99,1.67,75,Watch,종가 반등 | RSI 반등 | MACD 개선 | 거래량 증가 | 상승 탄력 확대,0,5,Neutral,거래량 이상,0,20260609,2026-06-09T09:49:48
